,titles,category
0,이준석 맹공에   김병민  사색이 됐던 것 기억해    녹취록 ,Politics
1,민주  국민 민심 강서구에 모여  오만한 권력에 경고 보내달라 ,Politics
2,비명계  험지 출마는 이재명 친명 중진들부터 ,Politics
3, 김행 거취  강서구청장 보선에 달렸다  여의도 속풀이 ,Politics
4,권영세  강서구청장 졌잘싸 목표 아냐  이기면 지도부 탄력 중진 수도권  글쎄 ,Politics
5,오늘밤   시  강서구가 김기현 이재명 운명 가른다,Politics
6, 뉴스라이브  정청래  하태경은 약체   한동훈 정도는 와야 ,Politics
7,대패하면 비대위  이재명 김기현  강서 단두대 매치 ,Politics
8, 패하면 끝장  강서구청장 보선에 달린 김기현 이재명의 운명,Politics
9, 오염수 먹어라  욕설에 돌까지 던져 습격 당한 국힘 시의원,Politics
10,이용호 신평 전여옥 전원책  김행 사퇴 지명철회  여권내 목소리 줄이어,Politics
11,김병주  국감 파행  성일종 통제불능 내주 재추진  성일종  응할 생각 없다 ,Politics
12, 험지행  비판한 홍준표에 다시 반박한 하태경  당사아생  이란 ,Politics
13,김재원  수도권 차출 응한 이는 다 떨어지고 이리저리 옮긴 홍준표는 떵떵거려 ,Politics
14,천하람  하태경 다음으로 장제원이 서울 출마 나서주면 좋을 듯 ,Politics
15, 최고위원 사퇴  송갑석  표 단속 실패  누군가는 책임져야 ,Politics
16,송갑석  비명계 지역구  원외 친명계 출마  당에 도움 안돼 ,Politics
17, 뉴스라이브   강서구청장 보궐선거  결과 가를 본 투표 변수는 ,Politics
18, 험지  순위  이재명과 친명계 다선  민주당에 튄 하태경 불똥,Politics
19,내년 총선 투표 어디에      국힘     민주      ,Politics
20,박지원  보궐선거 져도 이재명 책임   윤석열 정치는 바보 정치 ,Politics
21,  선 초과 금지  법안에  년 전 국회 보고서  국회의원 전문성 축적에 장애요인 될 수도 ,Politics
22, 양낙규의              미  그라울러  아덱스서 첫 실물 전시,Politics
23,신원식   도발시 수시간 내 장사정포병 능력 완전 궤멸 ,Politics
24,장경태  소셜뉴스 최대주주는 김행 딸 확인 재산   배 증가 ,Politics
25,송갑석  친명 자객공천에  이재명  수박 있는 데로 가  하진 않았을 것 ,Politics
26,강서구청 선거 결과에 숨죽이는 정치권 거센 후폭풍 예고,Politics
27, 손잡고 벽 넘자  이재명에 김병민  면피 발언  진정이면 가결파 탄압 중단부터  여의도초대석 ,Politics
28,박성민     강서구청장 패배하면 지도부 개편 당연히 나와 ,Politics
29,안철수 욕설 해명    이준석  강서 지면   책임 ,Politics
30,이원욱  중진 험지 출마는 친명 중진부터 ,Politics
31,진성준  선거 패배땐 당 대표 책임져야  권영세  보선 하나로 그러면 정상아냐 ,Politics
32,국방위 국정감사 첫날 파행   여야  네 탓이오 ,Politics
33,홍익표  국힘  김태우 보복판결  현수막  사과해야 ,Politics
34,   억 클럽  박영수   일 첫 재판,Politics
35,   하고 자빠져  논란에 안철수 측  시민 욕설을 유머로 승화 ,Politics
36,하태경  홍준표 직격  당사아생 선택한 사람 누구냐 ,Politics
37,강서구청장 선거          김태우냐   진교훈이냐 당 지도부 운명 가른다,Politics
38, 서울 출마  하태경  정청래는 내가 껄끄러운 듯 경기도 배제 아냐 ,Politics
39,이원욱  강서구 보선 승리하면 현 체제 안주 총선 악재다 ,Politics
40, 주식 초고수는 지금   조 단위  영업익 회복한 삼성전자  순매수  위,Economic
41,블레이드      배우 최윤영과 전속계약 체결 고창석 이준영 남우현 등 한솥밥,Economic
42,이장섭 의원  정유 사    개월간 전기요금  천   억원 감면혜택 ,Economic
43, 술값 그만 올려  정부 칼 빼들어도 식당가  맥주     원  만지작  푸드    ,Economic
44,박성훈 해수차관   후쿠시마 오염수 특별법 대신 현행법으로 가능 ,Economic
45,이스라엘 팔레스타인 전쟁      부산엑스포 유치에 변수,Economic
46,영업익     억   전년          엔솔   분기 역대 최대 실적,Economic
47,위니아에이드 상한가   대유위니아그룹 경영난에 몰리는 단기자금,Economic
48,  전자 전장  연매출   조  눈앞,Economic
49,삼성전자  분기 영업익  조 회복 전망  반도체 바닥 찍고 반등 ,Economic
50,   년 만기 출시  정부 책임론에 김주현  사전협의 없었다  반박,Economic
51,금융위원장  은행   년만기 주담대  금융상품 상식에 맞지 않아 ,Economic
52,에코프로      내리자 코스닥  출렁 ,Economic
53, 나도  삼쩜삼  했는데      만명 쓰는 국민앱 국감서 혼쭐,Economic
54, 속보  훨훨 나는   에너지솔루션  분기 기준  역대 최대 영업이익  찍었다,Economic
55,올해 국내 증시 시총    조원 늘어 삼성전자   조원 ,Economic
56, 구내식당  비싸더라도 맛있었으면   공무원들 뿔났다  관가 포커스 ,Economic
57, 맥주값도 올랐다  오늘부터 오비맥주 출고가      인상,Economic
58, 팩트체크  정부 고용지표 역대 최고 청년 노인 고용률 월등히 높아,Economic
59, 팩트체크 나라빚 증가 속도   정부가  정부보다  배 빨랐다,Economic
60,부드러워진 연준의 입    고금리 장기화  전망 한풀 꺾여,Economic
61,담배 합판에 숨겨   배  시세차 호주로 밀수출 시도,Economic
62, 역체미  페이커 원픽  삼성 오디세이    모니터 가장 갖고 싶어 ,Economic
63,     엔비디아와 경쟁 위해 오픈소스    기업 인수 영상 ,Economic
64,설탕 소금 상승률   년 만에 동시 최고치 먹거리 물가 어쩌나,Economic
