titles,category
하마스에 흘러간 북 무기는 양낙규의              ,Politics
 도의적 책임  지적에 이상민  책임자 사퇴로는 참사 재발 막을 수 없어  국감 말말말 ,Politics
권익위  이재명 법카 유용 관련 의혹 검찰로 이첩,Politics
 강서구청장 보궐선거     나이트포커스 ,Politics
가짜뉴스 공방  대통령이 싫어하면 가짜뉴스냐   괴담 폐해 심각 ,Politics
   국제분쟁 확대 가능성   경제 리스크 관리에 전력 ,Politics
김행 청문회 퇴장 공방 여  권인숙 방지법  야  김행랑 방지법 ,Politics
   보선 하루 전 부정선거 운운 패배 대비한 핑곗거리냐 ,Politics
김행  민주당   묻지마  고발   당당히 수사 응할 것 ,Politics
안철수     하고 자빠졌죠  비판에  시민 욕설을 유머로 승화시킨 것 ,Politics
 속보  삼성전자  분기 영업이익    조 원 전 분기 대비      ,Economic
부산엑스포 심포지엄서 해외 대표단과 대화하는 정의선 회장,Economic
   경제성 평가 못 믿어        부동산 통계 조작 ,Economic
카뱅  동남아시장 손 뻗는다 인니 슈퍼뱅크에     투자,Economic
뉴욕증시  국채금리 하락에 일제 상승 나스닥         뉴욕증시 브리핑 ,Economic
   가 밀고 가전이 끌고      전자  분기  어닝 서프라이즈  상보 ,Economic
주차로봇부터 대화형 서빙로봇까지 최신 로봇 한자리에,Economic
점유율    면 수천억 챙기는 애플  혼자만  규제 패스 ,Economic
  제일제당  셀렉타 지분 전량 매각,Economic
  엔솔 이어   화학도 토요타 뚫었다     공장에 양극재 공급,Economic
모텔서 불법촬영한 중국인 구속송치  피해 영상만    만 개,Social
정신질환자 매년 증가하는데 서비스 이용률        전주기적 관리 시급 ,Social
서산 폭발 사고로  명 위중 부상자 극단적 선택 관련도 수사 종합 보 ,Social
  대법원장 공백  책임론 공방    책임      부결은         국감 ,Social
정진상 재판서 양털 코트 입고 돈다발 전달 재연한 유동규,Social
   검수원복  개정안에  검 경은 시너지 효과 내야 ,Social
서울대병원 노조  오늘부터 파업  필수인력 제외 ,Social
 돈 봉투  윤관석  아내 홀로 암 투병  보석 호소 사실상 무죄 주장,Social
코트라   한 네덜란드 반도체 세미나 상담회  협력 강화한다,Social
 학폭피해  표예림씨 숨진채 발견 극단 선택 추정,Social
 모빌리티 개발자 모여라  현대차 내달 콘퍼런스,Culture
큰 일교차 주의 출근길 내륙 곳곳 안개 날씨 ,Culture
 사랑의 시인  김남조 시인 노환으로 별세 향년   세,Culture
  일 맑고 선선한 가을 서울 낮 최고   도,Culture
김홍신  이념갈등 여전히 심각 용서안하면 자신까지 죽여 ,Culture
      일 임시 이사회 개최 신임 사장 임명 제청 가능성,Culture
 완연한 가을  큰 일교차 주의 동해안 강풍 주의 날씨 ,Culture
 개정 도서정가제 큰 역할  박민권 전 문체부 차관에 한국출판공로상,Culture
 은행간 이체시스템 장애로    만건 마비      년 가동 이후 처음 ,World
난감한 사우디 팔레스타인 지지도  이스라엘 지지도 쉽지않아,World
  이스라엘 규탄    하버드생 성명 두고 논란 이 팔 전쟁 ,World
확전 최대 변수는  이란 헤즈볼라 참전 ,World
이스라엘 팔레스타인 사망자     명 넘어 공습 지속 종합 ,World
아르헨 대선  위 후보  페소는 쓰레기   외환시장 패닉,World
 최고령 스카이다이버     세 할머니  도전  일 만에 세상 떠나,World
미국 상원대표  시 주석에 이스라엘 지지 촉구  악랄한 공격 규탄해야 ,World
 이스라엘    시간내 가자지구 지상작전 돌입 ,World
연준 위원  이 팔전쟁  불확실성 더해 연준  변화에 민첩해야 ,World
구글  환자 의료정보  한눈에 볼 수 있는 기능 출시,IT
 통신 사 자회사  알뜰폰 시장     점유 도입 취지 무색 ,IT
   코리아  국내 기업 생성형    지원 프로그램 발표,IT
 카톡 선물하기 로 주류 선물 서비스 내년 상반기 출시,IT
 카카오 운영 다음  댓글에  대깨문 은 가리면서  닭근혜   쥐명박   굥 은 방치 ,IT
글로벌 협업 플랫폼 스윗  인당  달러의 파격적 플랜 제시한            출시,IT
 부산 이즈 레디       부국제 현장에 엑스포 유치 응원,IT
오후두시랩  클릭 몇 번으로   도 탄소배출량을 한눈에,IT
